state,district,year,chloride,sdp,predicted_chloride,error
Tamilnadu,The Nilgiris,2012,47.0,709343.0,340.836745123095,-293.836745123095
Tamilnadu,The Nilgiris,2011,40.666668,674478.0,341.39563894107056,-300.72897094107054
Tamilnadu,The Nilgiris,2010,39.57143,628152.0055419293,336.5821338871031,-297.0107038871031
Tamilnadu,The Nilgiris,2009,51.0,552763.8529603527,315.7311837596942,-264.7311837596942
Tamilnadu,The Nilgiris,2007,56.0,475248.4774441926,279.1651981463025,-223.1651981463025
Tamilnadu,Virudhunagar,2017,331.97693,1000308.0,205.97300648612622,126.00392351387376
Tamilnadu,Virudhunagar,2016,245.73654,922084.0,262.1683421847763,-16.431802184776302
Tamilnadu,The Nilgiris,2013,35.666668,750416.0,335.53840234714755,-299.87173434714754
Tamilnadu,Virudhunagar,2014,351.0,791915.0,325.14925702638936,25.850742973610636
Tamilnadu,Virudhunagar,2012,370.60001,709343.0,340.836745123095,29.763264876904998
Tamilnadu,Virudhunagar,2011,391.375,674478.0,341.39563894107056,49.97936105892944
Tamilnadu,Virudhunagar,2010,471.0,628152.0055419293,336.5821338871031,134.4178661128969
Tamilnadu,Virudhunagar,2009,344.70001,552763.8529603527,315.7311837596942,28.968826240305816
Tamilnadu,Virudhunagar,2007,353.20001,475248.4774441926,279.1651981463025,74.03481185369753
Tamilnadu,Virudhunagar,2006,338.0,447233.3527585457,262.73623838205395,75.26376161794605
Tamilnadu,Virudhunagar,2005,380.28571,386683.4090471607,222.64450343802844,157.64120656197156
Tamilnadu,Virudhunagar,2013,479.375,750416.0,335.53840234714755,143.83659765285245
Tamilnadu,Madurai,2000,397.75,288498.3205747694,149.50517891822724,248.24482108177276
Tamilnadu,The Nilgiris,2014,41.0,791915.0,325.14925702638936,-284.14925702638936
Tamilnadu,The Nilgiris,2016,51.42857,922084.0,262.1683421847763,-210.73977218477629
Tamilnadu,Krishnagiri,2007,220.42857,475248.4774441926,279.1651981463025,-58.73662814630248
Tamilnadu,Krishnagiri,2006,322.0,447233.3527585457,262.73623838205395,59.263761617946045
Tamilnadu,Krishnagiri,2005,282.22223,386683.4090471607,222.64450343802844,59.57772656197159
Tamilnadu,Krishnagiri,2004,286.57144,337921.3167903381,187.05517547117557,99.51626452882442
Tamilnadu,Krishnagiri,2002,139.85715,284324.36644762417,146.31666730904917,-6.4595173090491755
Tamilnadu,Krishnagiri,2001,260.86154,282908.6927283517,145.23564660863028,115.62589339136971
Tamilnadu,Krishnagiri,2000,272.5,288498.3205747694,149.50517891822724,122.99482108177276
Tamilnadu,The Nilgiris,2015,37.857143,862437.0,296.40158297902906,-258.54443997902905
Tamilnadu,Theni,2006,197.75,447233.3527585457,262.73623838205395,-64.98623838205395
Tamilnadu,Theni,2004,425.79999,337921.3167903381,187.05517547117557,238.7448145288244
Tamilnadu,Kanniyakumari,2010,182.0,628152.0055419293,336.5821338871031,-154.5821338871031
Tamilnadu,Theni,2002,289.28571,284324.36644762417,146.31666730904917,142.96904269095083
Tamilnadu,Theni,2001,299.25,282908.6927283517,145.23564660863028,154.01435339136972
Tamilnadu,Theni,2000,187.77777,288498.3205747694,149.50517891822724,38.27259108177276
Tamilnadu,The Nilgiris,2018,124.075,1071602.0,146.95405175068572,-22.87905175068572
Tamilnadu,The Nilgiris,2017,45.857143,1000308.0,205.97300648612622,-160.11586348612622
Tamilnadu,Theni,2005,350.66666,386683.4090471607,222.64450343802844,128.02215656197154
Tamilnadu,Madurai,2001,491.84616,282908.6927283517,145.23564660863028,346.61051339136975
Tamilnadu,Madurai,2002,368.5,284324.36644762417,146.31666730904917,222.18333269095083
Tamilnadu,Madurai,2004,220.60001,337921.3167903381,187.05517547117557,33.544834528824424
Tamilnadu,Thoothukkudi,2017,242.64642,1000308.0,205.97300648612622,36.67341351387378
Tamilnadu,Thoothukkudi,2016,276.48999,922084.0,262.1683421847763,14.321647815223685
Tamilnadu,Thoothukkudi,2014,271.98462,791915.0,325.14925702638936,-53.16463702638936
Tamilnadu,Thoothukkudi,2013,448.60001,750416.0,335.53840234714755,113.06160765285244
Tamilnadu,Thoothukkudi,2012,239.0,709343.0,340.836745123095,-101.836745123095
