state,district,year,chloride,sdp,predicted_chloride,error
Andhra Pradesh,Y.S.R.,2018,567.45453,558862.0,207.3420264426754,360.11250355732454
Andhra Pradesh,West Godavari,2011,492.11111,339996.0,191.43573042321026,300.67537957678974
Andhra Pradesh,Prakasam,2010,294.02856,330210.7804378922,190.72458022642158,103.30397977357845
Andhra Pradesh,Prakasam,2011,418.66666,339996.0,191.43573042321026,227.23092957678972
Andhra Pradesh,Prakasam,2012,315.27585,341335.0,191.53304352972322,123.74280647027678
Andhra Pradesh,Prakasam,2013,329.18182,360239.0,192.90690982212115,136.27491017787887
Andhra Pradesh,Prakasam,2014,338.8421,397064.0,195.58320194112,143.25889805888002
Andhra Pradesh,Prakasam,2015,468.56412,446997.0,199.21213050535545,269.35198949464456
Andhra Pradesh,Prakasam,2016,494.7037,477566.0,201.43376183694204,293.269938163058
Andhra Pradesh,Prakasam,2017,361.62964,526626.0,204.99924429065783,156.63039570934217
Andhra Pradesh,West Godavari,2012,279.88235,341335.0,191.53304352972322,88.34930647027676
Andhra Pradesh,Prakasam,2018,480.95999,558862.0,207.3420264426754,273.61796355732463
Andhra Pradesh,Kurnool,2013,337.47827,360239.0,192.90690982212115,144.57136017787886
Andhra Pradesh,Kurnool,2012,253.77272,341335.0,191.53304352972322,62.23967647027678
Andhra Pradesh,East Godavari,2004,394.76666,215455.8737901584,182.38465755764278,212.38200244235722
Andhra Pradesh,Sri Potti Sriramulu Nellore,2004,319.36365,215455.8737901584,182.38465755764278,136.97899244235722
Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,324.07407,227457.9878258872,183.2569226820188,140.8171473179812
Andhra Pradesh,Sri Potti Sriramulu Nellore,2006,310.67648,251348.62002359648,184.99319724192728,125.68328275807275
Andhra Pradesh,Sri Potti Sriramulu Nellore,2007,324.96875,282693.9814360441,187.2712513821935,137.6974986178065
Andhra Pradesh,Sri Potti Sriramulu Nellore,2008,256.70587,289919.74396775843,187.796390589726,68.909479410274
Andhra Pradesh,Kurnool,2014,368.0,397064.0,195.58320194112,172.41679805888
Andhra Pradesh,Prakasam,2008,348.59091,289919.74396775843,187.796390589726,160.794519410274
Andhra Pradesh,East Godavari,2005,343.84375,227457.9878258872,183.2569226820188,160.5868273179812
Andhra Pradesh,Kurnool,2015,386.71875,446997.0,199.21213050535545,187.50661949464455
Andhra Pradesh,East Godavari,2018,324.48779,558862.0,207.3420264426754,117.14576355732461
Andhra Pradesh,Prakasam,2005,439.04349,227457.9878258872,183.2569226820188,255.78656731798122
Andhra Pradesh,Prakasam,2006,398.88235,251348.62002359648,184.99319724192728,213.8891527580727
Andhra Pradesh,Prakasam,2007,345.32144,282693.9814360441,187.2712513821935,158.0501886178065
Andhra Pradesh,East Godavari,2017,252.13043,526626.0,204.99924429065783,47.13118570934216
Andhra Pradesh,East Godavari,2016,208.27451,477566.0,201.43376183694204,6.8407481630579525
Andhra Pradesh,East Godavari,2015,192.58824,446997.0,199.21213050535545,-6.623890505355433
Andhra Pradesh,East Godavari,2014,256.3793,397064.0,195.58320194112,60.796098058880006
Andhra Pradesh,East Godavari,2013,253.48215,360239.0,192.90690982212115,60.57524017787884
Andhra Pradesh,East Godavari,2012,224.66667,341335.0,191.53304352972322,33.133626470276795
Andhra Pradesh,East Godavari,2011,256.60001,339996.0,191.43573042321026,65.16427957678974
Andhra Pradesh,East Godavari,2010,352.375,330210.7804378922,190.72458022642158,161.65041977357842
Andhra Pradesh,East Godavari,2009,268.71875,309550.5308999029,189.2230768180015,79.49567318199851
Andhra Pradesh,East Godavari,2008,299.54544,289919.74396775843,187.796390589726,111.74904941027398
Andhra Pradesh,East Godavari,2007,331.67648,282693.9814360441,187.2712513821935,144.40522861780653
Andhra Pradesh,East Godavari,2006,322.23529,251348.62002359648,184.99319724192728,137.24209275807274
Andhra Pradesh,Kurnool,2018,397.63159,558862.0,207.3420264426754,190.2895635573246
Andhra Pradesh,Kurnool,2017,289.03333,526626.0,204.99924429065783,84.03408570934215
Andhra Pradesh,Kurnool,2016,440.75757,477566.0,201.43376183694204,239.32380816305795
Andhra Pradesh,Sri Potti Sriramulu Nellore,2009,324.21875,309550.5308999029,189.2230768180015,134.9956731819985
Andhra Pradesh,Sri Potti Sriramulu Nellore,2010,355.46875,330210.7804378922,190.72458022642158,164.74416977357842
Andhra Pradesh,Prakasam,2009,424.3793,309550.5308999029,189.2230768180015,235.1562231819985
Andhra Pradesh,Kurnool,2011,329.60001,339996.0,191.43573042321026,138.16427957678974
Andhra Pradesh,Vizianagaram,2016,152.70213,477566.0,201.43376183694204,-48.73163183694203
Andhra Pradesh,Vizianagaram,2015,180.63158,446997.0,199.21213050535545,-18.580550505355433
Andhra Pradesh,Vizianagaram,2014,200.89743,397064.0,195.58320194112,5.314228058880019
Andhra Pradesh,Vizianagaram,2013,216.70589,360239.0,192.90690982212115,23.79898017787886
Andhra Pradesh,Vizianagaram,2012,121.17391,341335.0,191.53304352972322,-70.35913352972321
Andhra Pradesh,Sri Potti Sriramulu Nellore,2011,416.02942,339996.0,191.43573042321026,224.59368957678976
Andhra Pradesh,Vizianagaram,2010,198.13043,330210.7804378922,190.72458022642158,7.40584977357841
Andhra Pradesh,Vizianagaram,2009,136.08696,309550.5308999029,189.2230768180015,-53.13611681800148
Andhra Pradesh,Guntur,2010,355.32501,330210.7804378922,190.72458022642158,164.60042977357844
Andhra Pradesh,Guntur,2011,392.97437,339996.0,191.43573042321026,201.53863957678976
Andhra Pradesh,West Godavari,2004,514.72729,215455.8737901584,182.38465755764278,332.3426324423573
Andhra Pradesh,West Godavari,2005,697.0,227457.9878258872,183.2569226820188,513.7430773179813
Andhra Pradesh,West Godavari,2006,223.8647,251348.62002359648,184.99319724192728,38.87150275807272
Andhra Pradesh,West Godavari,2007,265.0,282693.9814360441,187.2712513821935,77.7287486178065
Andhra Pradesh,West Godavari,2008,222.61111,289919.74396775843,187.796390589726,34.814719410273995
Andhra Pradesh,West Godavari,2009,560.06665,309550.5308999029,189.2230768180015,370.8435731819985
Andhra Pradesh,West Godavari,2010,427.29413,330210.7804378922,190.72458022642158,236.56954977357842
Andhra Pradesh,Vizianagaram,2017,140.7,526626.0,204.99924429065783,-64.29924429065784
Andhra Pradesh,Guntur,2009,383.23685,309550.5308999029,189.2230768180015,194.01377318199852
Andhra Pradesh,Vizianagaram,2011,172.18182,339996.0,191.43573042321026,-19.25391042321027
Andhra Pradesh,Guntur,2007,469.52499,282693.9814360441,187.2712513821935,282.2537386178065
Andhra Pradesh,Kurnool,2010,263.83334,330210.7804378922,190.72458022642158,73.10875977357844
Andhra Pradesh,Kurnool,2009,392.26315,309550.5308999029,189.2230768180015,203.0400731819985
Andhra Pradesh,Kurnool,2008,472.19232,289919.74396775843,187.796390589726,284.395929410274
Andhra Pradesh,Guntur,2008,473.39474,289919.74396775843,187.796390589726,285.598349410274
Andhra Pradesh,Kurnool,2007,476.20691,282693.9814360441,187.2712513821935,288.9356586178065
Andhra Pradesh,Kurnool,2006,346.33334,251348.62002359648,184.99319724192728,161.34014275807274
Andhra Pradesh,Kurnool,2005,285.26666,227457.9878258872,183.2569226820188,102.0097373179812
