state,district,year,chloride,sdp,gini
Andhra Pradesh,Krishna,2018,467.01694,558862.0,0.33
Andhra Pradesh,Guntur,2018,398.78824,558862.0,0.33
Andhra Pradesh,Guntur,2017,365.44446,526626.0,0.33
Andhra Pradesh,Guntur,2016,282.31647,477566.0,0.33
Andhra Pradesh,Prakasam,2004,334.56,215455.8737901584,0.24
Andhra Pradesh,Chittoor,2011,207.91304,339996.0,0.31
Andhra Pradesh,Chittoor,2014,295.4516,397064.0,0.31
Andhra Pradesh,Srikakulam,2017,184.92857,526626.0,0.27
Andhra Pradesh,Y.S.R.,2017,275.17499,526626.0,0.35
Andhra Pradesh,Y.S.R.,2016,269.72,477566.0,0.35
Andhra Pradesh,Y.S.R.,2015,348.92307,446997.0,0.35
Andhra Pradesh,Y.S.R.,2014,265.09091,397064.0,0.35
Andhra Pradesh,Y.S.R.,2013,226.08333,360239.0,0.35
Andhra Pradesh,Y.S.R.,2012,173.73334,341335.0,0.35
Andhra Pradesh,Y.S.R.,2011,248.33333,339996.0,0.35
Andhra Pradesh,Y.S.R.,2010,143.0,330210.7804378922,0.35
Andhra Pradesh,Y.S.R.,2009,280.89999,309550.5308999029,0.35
Andhra Pradesh,Y.S.R.,2008,291.89474,289919.74396775843,0.35
Andhra Pradesh,Y.S.R.,2007,248.71428,282693.9814360441,0.35
Andhra Pradesh,Chittoor,2015,196.6875,446997.0,0.31
Andhra Pradesh,Y.S.R.,2006,288.0,251348.62002359648,0.35
Andhra Pradesh,Y.S.R.,2004,173.44444,215455.8737901584,0.35
Andhra Pradesh,West Godavari,2015,349.09091,446997.0,0.26
Andhra Pradesh,Chittoor,2004,268.14816,215455.8737901584,0.31
Andhra Pradesh,Chittoor,2005,283.75,227457.9878258872,0.31
Andhra Pradesh,Chittoor,2006,181.28947,251348.62002359648,0.31
Andhra Pradesh,Chittoor,2007,262.10257,282693.9814360441,0.31
Andhra Pradesh,Chittoor,2008,187.7027,289919.74396775843,0.31
Andhra Pradesh,Chittoor,2009,196.4375,309550.5308999029,0.31
Andhra Pradesh,Chittoor,2010,163.27026,330210.7804378922,0.31
Andhra Pradesh,Krishna,2013,463.04544,360239.0,0.33
Andhra Pradesh,Chittoor,2012,199.52942,341335.0,0.31
Andhra Pradesh,Chittoor,2013,191.58333,360239.0,0.31
Andhra Pradesh,Y.S.R.,2005,224.90909,227457.9878258872,0.35
Andhra Pradesh,Krishna,2012,378.41666,341335.0,0.33
Andhra Pradesh,Krishna,2004,778.5,215455.8737901584,0.33
Andhra Pradesh,Krishna,2010,422.51999,330210.7804378922,0.33
Andhra Pradesh,Anantapur,2004,353.38889,215455.8737901584,0.27
Andhra Pradesh,Visakhapatanam,2007,219.28947,282693.9814360441,0.42
Andhra Pradesh,Visakhapatanam,2006,215.21892,251348.62002359648,0.42
Andhra Pradesh,Visakhapatanam,2005,235.6875,227457.9878258872,0.42
Andhra Pradesh,Visakhapatanam,2004,238.47575,215455.8737901584,0.42
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,506.20587,446997.0,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,208.54167,477566.0,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,279.8421,526626.0,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,349.95999,558862.0,0.27
Andhra Pradesh,Srikakulam,2004,289.34616,215455.8737901584,0.27
Andhra Pradesh,Srikakulam,2005,311.16,227457.9878258872,0.27
Andhra Pradesh,Anantapur,2005,439.72726,227457.9878258872,0.27
Andhra Pradesh,Srikakulam,2006,298.27274,251348.62002359648,0.27
Andhra Pradesh,Srikakulam,2008,301.375,289919.74396775843,0.27
Andhra Pradesh,Srikakulam,2009,249.47826,309550.5308999029,0.27
Andhra Pradesh,Srikakulam,2010,303.88461,330210.7804378922,0.27
Andhra Pradesh,West Godavari,2017,484.52499,526626.0,0.26
Andhra Pradesh,West Godavari,2018,464.53571,558862.0,0.26
Andhra Pradesh,Srikakulam,2011,285.84,339996.0,0.27
Andhra Pradesh,Srikakulam,2012,265.38461,341335.0,0.27
Andhra Pradesh,Srikakulam,2013,247.75676,360239.0,0.27
Andhra Pradesh,Srikakulam,2014,216.39999,397064.0,0.27
Andhra Pradesh,Srikakulam,2015,234.19513,446997.0,0.27
Andhra Pradesh,Srikakulam,2016,221.73077,477566.0,0.27
Andhra Pradesh,Srikakulam,2007,321.67999,282693.9814360441,0.27
Andhra Pradesh,Krishna,2011,433.45834,339996.0,0.33
Andhra Pradesh,Anantapur,2006,287.09091,251348.62002359648,0.27
Andhra Pradesh,Anantapur,2008,339.73077,289919.74396775843,0.27
Andhra Pradesh,Krishna,2009,496.72726,309550.5308999029,0.33
Andhra Pradesh,Krishna,2008,426.63635,289919.74396775843,0.33
Andhra Pradesh,Krishna,2007,595.21741,282693.9814360441,0.33
Andhra Pradesh,Krishna,2006,410.67999,251348.62002359648,0.33
Andhra Pradesh,Krishna,2005,692.90002,227457.9878258872,0.33
Andhra Pradesh,West Godavari,2014,432.125,397064.0,0.26
Andhra Pradesh,Visakhapatanam,2015,180.30281,446997.0,0.42
Andhra Pradesh,Visakhapatanam,2014,146.57378,397064.0,0.42
Andhra Pradesh,Visakhapatanam,2013,210.01785,360239.0,0.42
Andhra Pradesh,Visakhapatanam,2012,149.64865,341335.0,0.42
Andhra Pradesh,Visakhapatanam,2011,213.21317,339996.0,0.42
Andhra Pradesh,Anantapur,2007,243.85185,282693.9814360441,0.27
Andhra Pradesh,Visakhapatanam,2010,198.75676,330210.7804378922,0.42
Andhra Pradesh,Visakhapatanam,2008,192.86757,289919.74396775843,0.42
Andhra Pradesh,Anantapur,2018,278.0,558862.0,0.27
Andhra Pradesh,Anantapur,2017,307.43478,526626.0,0.27
Andhra Pradesh,Anantapur,2016,332.80646,477566.0,0.27
Andhra Pradesh,Anantapur,2015,272.44446,446997.0,0.27
Andhra Pradesh,Anantapur,2014,254.16667,397064.0,0.27
Andhra Pradesh,Anantapur,2013,214.375,360239.0,0.27
Andhra Pradesh,Anantapur,2012,171.83333,341335.0,0.27
Andhra Pradesh,Anantapur,2011,253.91667,339996.0,0.27
Andhra Pradesh,Anantapur,2010,215.26923,330210.7804378922,0.27
Andhra Pradesh,Anantapur,2009,242.73914,309550.5308999029,0.27
Andhra Pradesh,Visakhapatanam,2009,202.01579,309550.5308999029,0.42
Andhra Pradesh,West Godavari,2013,451.10809,360239.0,0.26
Andhra Pradesh,Y.S.R.,2018,567.45453,558862.0,0.35
Andhra Pradesh,West Godavari,2011,492.11111,339996.0,0.26
Andhra Pradesh,Prakasam,2010,294.02856,330210.7804378922,0.24
Andhra Pradesh,Prakasam,2011,418.66666,339996.0,0.24
Andhra Pradesh,Prakasam,2012,315.27585,341335.0,0.24
Andhra Pradesh,Prakasam,2013,329.18182,360239.0,0.24
Andhra Pradesh,Prakasam,2014,338.8421,397064.0,0.24
Andhra Pradesh,Prakasam,2015,468.56412,446997.0,0.24
Andhra Pradesh,Prakasam,2016,494.7037,477566.0,0.24
Andhra Pradesh,Prakasam,2017,361.62964,526626.0,0.24
Andhra Pradesh,West Godavari,2012,279.88235,341335.0,0.26
Andhra Pradesh,Prakasam,2018,480.95999,558862.0,0.24
Andhra Pradesh,Kurnool,2013,337.47827,360239.0,0.26
Andhra Pradesh,Kurnool,2012,253.77272,341335.0,0.26
Andhra Pradesh,East Godavari,2004,394.76666,215455.8737901584,0.28
Andhra Pradesh,Sri Potti Sriramulu Nellore,2004,319.36365,215455.8737901584,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,324.07407,227457.9878258872,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2006,310.67648,251348.62002359648,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2007,324.96875,282693.9814360441,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2008,256.70587,289919.74396775843,0.27
Andhra Pradesh,Kurnool,2014,368.0,397064.0,0.26
Andhra Pradesh,Prakasam,2008,348.59091,289919.74396775843,0.24
Andhra Pradesh,East Godavari,2005,343.84375,227457.9878258872,0.28
Andhra Pradesh,Kurnool,2015,386.71875,446997.0,0.26
Andhra Pradesh,East Godavari,2018,324.48779,558862.0,0.28
Andhra Pradesh,Prakasam,2005,439.04349,227457.9878258872,0.24
Andhra Pradesh,Prakasam,2006,398.88235,251348.62002359648,0.24
Andhra Pradesh,Prakasam,2007,345.32144,282693.9814360441,0.24
Andhra Pradesh,East Godavari,2017,252.13043,526626.0,0.28
Andhra Pradesh,East Godavari,2016,208.27451,477566.0,0.28
Andhra Pradesh,East Godavari,2015,192.58824,446997.0,0.28
Andhra Pradesh,East Godavari,2014,256.3793,397064.0,0.28
Andhra Pradesh,East Godavari,2013,253.48215,360239.0,0.28
Andhra Pradesh,East Godavari,2012,224.66667,341335.0,0.28
Andhra Pradesh,East Godavari,2011,256.60001,339996.0,0.28
Andhra Pradesh,East Godavari,2010,352.375,330210.7804378922,0.28
Andhra Pradesh,East Godavari,2009,268.71875,309550.5308999029,0.28
Andhra Pradesh,East Godavari,2008,299.54544,289919.74396775843,0.28
Andhra Pradesh,East Godavari,2007,331.67648,282693.9814360441,0.28
Andhra Pradesh,East Godavari,2006,322.23529,251348.62002359648,0.28
Andhra Pradesh,Kurnool,2018,397.63159,558862.0,0.26
Andhra Pradesh,Kurnool,2017,289.03333,526626.0,0.26
Andhra Pradesh,Kurnool,2016,440.75757,477566.0,0.26
Andhra Pradesh,Sri Potti Sriramulu Nellore,2009,324.21875,309550.5308999029,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2010,355.46875,330210.7804378922,0.27
Andhra Pradesh,Prakasam,2009,424.3793,309550.5308999029,0.24
