state,district,year,chloride,sdp
Andhra Pradesh,Bhadradri Kothagudem,2003,82.0,147950.0
Andhra Pradesh,Bhadradri Kothagudem,2002,125.25,134749.0
Andhra Pradesh,Adilabad,2000,76.699997,126035.0
Andhra Pradesh,Bhadradri Kothagudem,2001,50.0,131750.0
Andhra Pradesh,Krishna,2015,452.85715,329277.084026477
Andhra Pradesh,Krishna,2014,414.95081,292494.3032993265
Andhra Pradesh,Krishna,2013,463.04544,265367.4352906486
Andhra Pradesh,Krishna,2012,378.41666,251441.94139150268
Andhra Pradesh,Jogulamba Gadwal,2003,394.5,147950.0
Andhra Pradesh,Karimnagar,2002,160.66667,134749.0
Andhra Pradesh,Bhadradri Kothagudem,2000,157.85715,126035.0
Andhra Pradesh,Y.S.R.,2014,265.09091,292494.3032993265
Andhra Pradesh,Y.S.R.,2015,348.92307,329277.084026477
Andhra Pradesh,Y.S.R.,2016,269.72,351795.5152052218
Andhra Pradesh,East Godavari,2002,347.3143,134749.0
Andhra Pradesh,East Godavari,2004,394.76666,158714.0
Andhra Pradesh,East Godavari,2005,343.84375,167555.26987840646
Andhra Pradesh,East Godavari,2006,322.23529,185154.13006227964
Andhra Pradesh,East Godavari,2007,331.67648,208244.46222031832
Andhra Pradesh,East Godavari,2008,299.54544,213567.2675552773
Andhra Pradesh,East Godavari,2000,248.9697,126035.0
Andhra Pradesh,East Godavari,2009,268.71875,228028.1437539131
Andhra Pradesh,East Godavari,2015,192.58824,329277.084026477
Andhra Pradesh,East Godavari,2011,256.60001,250455.5767950704
Andhra Pradesh,East Godavari,2014,256.3793,292494.3032993265
Andhra Pradesh,East Godavari,2012,224.66667,251441.94139150268
Andhra Pradesh,East Godavari,2013,253.48215,265367.4352906486
Andhra Pradesh,Krishna,2002,361.40909,134749.0
Andhra Pradesh,East Godavari,2010,352.375,243247.36608231455
Andhra Pradesh,Krishna,2004,778.5,158714.0
Andhra Pradesh,Krishna,2005,692.90002,167555.26987840646
Andhra Pradesh,Krishna,2006,410.67999,185154.13006227964
Andhra Pradesh,Y.S.R.,2017,275.17499,387935.2068414944
Andhra Pradesh,Y.S.R.,2018,567.45453,411681.621427448
Andhra Pradesh,Yadadri Bhuvanagiri,2000,489.0,126035.0
Andhra Pradesh,Yadadri Bhuvanagiri,2002,355.0,134749.0
Andhra Pradesh,Nirmal,2002,101.63833,134749.0
Andhra Pradesh,Nirmal,2001,113.875,131750.0
Andhra Pradesh,Nirmal,2000,105.5,126035.0
Andhra Pradesh,East Godavari,2018,324.48779,411681.621427448
Andhra Pradesh,East Godavari,2017,252.13043,387935.2068414944
Andhra Pradesh,East Godavari,2016,208.27451,351795.5152052218
Andhra Pradesh,Krishna,2011,433.45834,250455.5767950704
Andhra Pradesh,Krishna,2010,422.51999,243247.36608231455
Andhra Pradesh,Krishna,2009,496.72726,228028.1437539131
Andhra Pradesh,Krishna,2008,426.63635,213567.2675552773
Andhra Pradesh,Krishna,2007,595.21741,208244.46222031832
Andhra Pradesh,Ranga Reddy,2001,171.5,131750.0
Andhra Pradesh,Krishna,2018,467.01694,411681.621427448
Andhra Pradesh,Mancherial,2000,149.0,126035.0
Andhra Pradesh,Nalgonda,2001,409.802,131750.0
Andhra Pradesh,Mancherial,2001,183.25,131750.0
Andhra Pradesh,Mancherial,2002,224.88428,134749.0
Andhra Pradesh,Nalgonda,2002,379.10001,134749.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2008,256.70587,213567.2675552773
Andhra Pradesh,Sangareddy,2002,135.0,134749.0
Andhra Pradesh,Sangareddy,2001,138.25,131750.0
Andhra Pradesh,Medak,2001,113.0,131750.0
Andhra Pradesh,Medak,2002,88.5,134749.0
Andhra Pradesh,Medchal Malkajgiri,2000,193.0,126035.0
Andhra Pradesh,Medchal Malkajgiri,2001,123.0,131750.0
Andhra Pradesh,Medchal Malkajgiri,2002,284.0,134749.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2004,319.36365,158714.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,324.07407,167555.26987840646
Andhra Pradesh,Mahabubnagar,2003,367.0,147950.0
Andhra Pradesh,Khammam,2000,279.16666,126035.0
Andhra Pradesh,Mahabubnagar,2002,243.66667,134749.0
Andhra Pradesh,Mahabubabad,2002,189.39999,134749.0
Andhra Pradesh,Mahabubabad,2000,202.2,126035.0
Andhra Pradesh,Guntur,2010,355.32501,243247.36608231455
Andhra Pradesh,Guntur,2011,392.97437,250455.5767950704
Andhra Pradesh,Guntur,2012,295.80951,251441.94139150268
Andhra Pradesh,Guntur,2013,376.5303,265367.4352906486
Andhra Pradesh,Guntur,2014,353.07693,292494.3032993265
Andhra Pradesh,Guntur,2015,275.54236,329277.084026477
Andhra Pradesh,Guntur,2016,282.31647,351795.5152052218
Andhra Pradesh,Guntur,2017,365.44446,387935.2068414944
Andhra Pradesh,Guntur,2018,398.78824,411681.621427448
Andhra Pradesh,Jogulamba Gadwal,2002,386.5,134749.0
Andhra Pradesh,Jogulamba Gadwal,2000,347.39999,126035.0
Andhra Pradesh,Sangareddy,2000,215.0,126035.0
Andhra Pradesh,Mahabubnagar,2000,427.5,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2007,324.96875,208244.46222031832
Andhra Pradesh,Medak,2000,94.0,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2002,338.70969,134749.0
Andhra Pradesh,Nalgonda,2000,380.25,126035.0
Andhra Pradesh,Ranga Reddy,2000,141.39999,126035.0
Andhra Pradesh,Guntur,2000,510.95239,126035.0
Andhra Pradesh,Guntur,2002,217.32143,134749.0
Andhra Pradesh,Guntur,2004,386.23334,158714.0
Andhra Pradesh,Guntur,2005,482.27777,167555.26987840646
Andhra Pradesh,West Godavari,2018,464.53571,411681.621427448
Andhra Pradesh,West Godavari,2017,484.52499,387935.2068414944
Andhra Pradesh,West Godavari,2016,206.50685,351795.5152052218
Andhra Pradesh,West Godavari,2015,349.09091,329277.084026477
Andhra Pradesh,West Godavari,2014,432.125,292494.3032993265
Andhra Pradesh,West Godavari,2013,451.10809,265367.4352906486
Andhra Pradesh,West Godavari,2012,279.88235,251441.94139150268
Andhra Pradesh,West Godavari,2011,492.11111,250455.5767950704
Andhra Pradesh,Khammam,2002,237.07692,134749.0
Andhra Pradesh,West Godavari,2010,427.29413,243247.36608231455
Andhra Pradesh,West Godavari,2009,560.06665,228028.1437539131
Andhra Pradesh,West Godavari,2008,222.61111,213567.2675552773
Andhra Pradesh,West Godavari,2007,265.0,208244.46222031832
Andhra Pradesh,Sri Potti Sriramulu Nellore,2001,272.21054,131750.0
Andhra Pradesh,West Godavari,2006,223.8647,185154.13006227964
Andhra Pradesh,West Godavari,2005,697.0,167555.26987840646
Andhra Pradesh,West Godavari,2004,514.72729,158714.0
Andhra Pradesh,West Godavari,2002,400.38806,134749.0
Andhra Pradesh,West Godavari,2000,217.54167,126035.0
Andhra Pradesh,Guntur,2006,463.1282,185154.13006227964
Andhra Pradesh,Guntur,2007,469.52499,208244.46222031832
Andhra Pradesh,Guntur,2008,473.39474,213567.2675552773
Andhra Pradesh,Guntur,2009,383.23685,228028.1437539131
Andhra Pradesh,Karimnagar,2003,151.75,147950.0
Andhra Pradesh,Narayanpet,2000,1063.5,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2006,310.67648,185154.13006227964
Arunachal Pradesh,Tirap,2015,39.32,4376.255545805324
Arunachal Pradesh,East Siang,2015,63.333332,4376.255545805324
Arunachal Pradesh,Tirap,2016,19.544069,4548.399355388946
Arunachal Pradesh,Tirap,2017,20.088333,4727.333847796379
Arunachal Pradesh,Tirap,2018,31.905001,5058.040101315999
Arunachal Pradesh,East Siang,2016,23.749031,4548.399355388946
Arunachal Pradesh,East Siang,2018,37.222504,5058.040101315999
Arunachal Pradesh,East Siang,2014,46.333336,4441.785635055106
Arunachal Pradesh,Changlang,2015,42.233334,4376.255545805324
Arunachal Pradesh,Papum Pare,2015,17.266666,4376.255545805324
Arunachal Pradesh,Changlang,2016,19.171009,4548.399355388946
Arunachal Pradesh,Lohit,2016,11.042675,4548.399355388946
Arunachal Pradesh,Lohit,2018,17.725,5058.040101315999
Arunachal Pradesh,Lower Subansiri,2016,29.9907,4548.399355388946
Arunachal Pradesh,Papum Pare,2017,35.450001,4727.333847796379
Arunachal Pradesh,Changlang,2018,31.905001,5058.040101315999
Arunachal Pradesh,Lohit,2015,27.99,4376.255545805324
Arunachal Pradesh,Papum Pare,2016,13.330664,4548.399355388946
Arunachal Pradesh,Papum Pare,2018,19.31785,5058.040101315999
Arunachal Pradesh,Papum Pare,2014,71.800003,4441.785635055106
Assam,Chirang,2016,90.006454,77250.09052778706
Assam,Sivasagar,2014,64.0,62969.54053582446
Assam,Baksa,2018,28.360001,87999.09968396211
Assam,Baksa,2016,23.633295,77250.09052778706
Assam,Cachar,2014,52.509998,62969.54053582446
Assam,Baksa,2015,65.0,72088.24388239521
Assam,Baksa,2014,25.849998,62969.54053582446
Assam,Chirang,2015,117.89999,72088.24388239521
Assam,Sivasagar,2016,35.383839,77250.09052778706
Assam,Nalbari,2015,12.0,72088.24388239521
Assam,Nalbari,2016,23.747288,77250.09052778706
Assam,Cachar,2015,119.7375,72088.24388239521
Assam,Nalbari,2018,24.815001,87999.09968396211
Assam,Sonitpur,2016,27.855316,77250.09052778706
Assam,Sonitpur,2017,52.358463,83971.71537719759
Assam,Sonitpur,2018,38.108749,87999.09968396211
Assam,Sonitpur,2014,68.711113,62969.54053582446
Assam,Jorhat,2014,48.299999,62969.54053582446
Assam,Jorhat,2015,36.5,72088.24388239521
Assam,Jorhat,2016,51.763908,77250.09052778706
Assam,Cachar,2016,34.822598,77250.09052778706
Assam,Jorhat,2018,53.681427,87999.09968396211
Assam,Cachar,2018,121.948,87999.09968396211
Assam,Cachar,2017,41.023335,83971.71537719759
Assam,Sivasagar,2015,57.650002,72088.24388239521
Assam,Sonitpur,2015,53.627274,72088.24388239521
Assam,Barpeta,2014,19.799999,62969.54053582446
Assam,Nagaon,2016,41.309109,77250.09052778706
Assam,Goalpara,2014,38.257145,62969.54053582446
Assam,Hailakandi,2016,32.495934,77250.09052778706
Assam,Hailakandi,2017,30.131668,83971.71537719759
Assam,Hailakandi,2018,172.69214,87999.09968396211
Assam,Kamrup,2018,53.411335,87999.09968396211
Assam,Kamrup,2016,45.487823,77250.09052778706
Assam,Kamrup,2015,68.979996,72088.24388239521
Assam,Kamrup,2014,87.866669,62969.54053582446
Assam,Kamrup Metropolitan,2018,68.742172,87999.09968396211
Assam,Kamrup Metropolitan,2017,42.540001,83971.71537719759
Assam,Kamrup Metropolitan,2016,85.227615,77250.09052778706
Assam,Kamrup Metropolitan,2015,82.671425,72088.24388239521
Assam,Kamrup Metropolitan,2014,70.0625,62969.54053582446
Assam,Nagaon,2014,61.307693,62969.54053582446
Assam,Nagaon,2015,75.099998,72088.24388239521
Assam,Golaghat,2016,40.636467,77250.09052778706
Assam,Nagaon,2017,63.516666,83971.71537719759
Assam,Goalpara,2015,33.916668,72088.24388239521
Assam,Goalpara,2016,23.966352,77250.09052778706
Assam,Goalpara,2018,35.006874,87999.09968396211
Assam,Golaghat,2014,63.5,62969.54053582446
Assam,Golaghat,2015,56.400002,72088.24388239521
Assam,Dibrugarh,2014,29.983334,62969.54053582446
Assam,Dibrugarh,2016,18.389669,77250.09052778706
Assam,Dibrugarh,2017,14.1825,83971.71537719759
Assam,Dhubri,2018,52.162144,87999.09968396211
Assam,Dhubri,2016,26.802427,77250.09052778706
Assam,Dhubri,2015,93.0,72088.24388239521
Assam,Dhubri,2014,52.419998,62969.54053582446
Assam,Nagaon,2018,52.466,87999.09968396211
Assam,Marigaon,2016,60.946865,77250.09052778706
Assam,Marigaon,2018,54.947502,87999.09968396211
