state,district,year,chloride,sdp,predicted_chloride,error
Andhra Pradesh,Krishna,2015,452.85715,446997.0,258.8964201179388,193.96072988206117
Andhra Pradesh,Krishna,2016,458.30768,477566.0,263.37018483750205,194.93749516249795
Andhra Pradesh,Krishna,2017,428.39999,526626.0,267.8646007702688,160.5353892297312
Andhra Pradesh,Krishna,2018,467.01694,558862.0,269.1381167275198,197.8788232724802
Andhra Pradesh,Guntur,2018,398.78824,558862.0,269.1381167275198,129.6501232724802
Andhra Pradesh,Guntur,2017,365.44446,526626.0,267.8646007702688,97.5798592297312
Andhra Pradesh,Guntur,2016,282.31647,477566.0,263.37018483750205,18.94628516249793
Andhra Pradesh,Prakasam,2004,334.56,215455.8737901584,175.44055204756037,159.11944795243963
Andhra Pradesh,Chittoor,2011,207.91304,339996.0,231.975810468319,-24.062770468319002
Andhra Pradesh,Chittoor,2014,295.4516,397064.0,248.60898540593587,46.842614594064116
Andhra Pradesh,Srikakulam,2017,184.92857,526626.0,267.8646007702688,-82.93603077026879
Andhra Pradesh,Y.S.R.,2017,275.17499,526626.0,267.8646007702688,7.310389229731186
Andhra Pradesh,Y.S.R.,2016,269.72,477566.0,263.37018483750205,6.3498151624979755
Andhra Pradesh,Y.S.R.,2015,348.92307,446997.0,258.8964201179388,90.02664988206118
Andhra Pradesh,Y.S.R.,2014,265.09091,397064.0,248.60898540593587,16.48192459406414
Andhra Pradesh,Y.S.R.,2013,226.08333,360239.0,238.49799032754788,-12.414660327547892
Andhra Pradesh,Y.S.R.,2012,173.73334,341335.0,232.4289393567176,-58.695599356717594
Andhra Pradesh,Y.S.R.,2011,248.33333,339996.0,231.975810468319,16.357519531680992
Andhra Pradesh,Y.S.R.,2010,143.0,330210.7804378922,228.56968692697038,-85.56968692697038
Andhra Pradesh,Y.S.R.,2009,280.89999,309550.5308999029,220.82241900279692,60.07757099720308
Andhra Pradesh,Y.S.R.,2008,291.89474,289919.74396775843,212.74599528349947,79.14874471650054
Andhra Pradesh,Y.S.R.,2007,248.71428,282693.9814360441,209.5938942340484,39.120385765951596
Andhra Pradesh,Chittoor,2015,196.6875,446997.0,258.8964201179388,-62.20892011793882
Andhra Pradesh,Y.S.R.,2006,288.0,251348.62002359648,194.773719137058,93.22628086294199
Andhra Pradesh,Y.S.R.,2004,173.44444,215455.8737901584,175.44055204756037,-1.9961120475603877
