state,district,year,chloride,sdp,gini,predicted_chloride,residuals
Andhra Pradesh,Chittoor,2008,187.7027,289919.74396775843,0.31,216.52298181065055,-28.820281810650556
Andhra Pradesh,Chittoor,2009,196.4375,309550.5308999029,0.31,224.90167174245863,-28.464171742458632
Andhra Pradesh,Chittoor,2010,163.27026,330210.7804378922,0.31,232.96965839814857,-69.69939839814856
Andhra Pradesh,Krishna,2013,463.04544,360239.0,0.33,243.36739181649745,219.67804818350254
Andhra Pradesh,Chittoor,2012,199.52942,341335.0,0.31,237.00245278385918,-37.473032783859196
Andhra Pradesh,Chittoor,2013,191.58333,360239.0,0.31,243.36739181646368,-51.78406181646369
Andhra Pradesh,Y.S.R.,2005,224.90909,227457.9878258872,0.35,185.03115355963567,39.87793644036432
Andhra Pradesh,Krishna,2012,378.41666,341335.0,0.33,237.00245278389295,141.41420721610703
Andhra Pradesh,Krishna,2004,778.5,215455.8737901584,0.33,178.1039047339693,600.3960952660307
Andhra Pradesh,Krishna,2010,422.51999,330210.7804378922,0.33,232.96965839818233,189.55033160181767
Andhra Pradesh,Anantapur,2004,353.38889,215455.8737901584,0.27,178.103904733868,175.284985266132
Andhra Pradesh,Visakhapatanam,2007,219.28947,282693.9814360441,0.42,213.26035460569034,6.029115394309656
Andhra Pradesh,Visakhapatanam,2006,215.21892,251348.62002359648,0.42,197.9662489535641,17.252671046435893
Andhra Pradesh,Visakhapatanam,2005,235.6875,227457.9878258872,0.42,185.03115355975385,50.65634644024615
Andhra Pradesh,Visakhapatanam,2004,238.47575,215455.8737901584,0.42,178.10390473412122,60.37184526587879
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,506.20587,446997.0,0.27,265.12488457060834,241.08098542939166
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,208.54167,477566.0,0.27,270.07124422955945,-61.529574229559444
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,279.8421,526626.0,0.27,275.3083787408355,4.533721259164508
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,349.95999,558862.0,0.27,277.05532958816946,72.90466041183055
Andhra Pradesh,Srikakulam,2004,289.34616,215455.8737901584,0.27,178.103904733868,111.24225526613199
Andhra Pradesh,Srikakulam,2005,311.16,227457.9878258872,0.27,185.03115355950064,126.12884644049939
Andhra Pradesh,Anantapur,2005,439.72726,227457.9878258872,0.27,185.03115355950064,254.69610644049936
Andhra Pradesh,Srikakulam,2006,298.27274,251348.62002359648,0.27,197.9662489533109,100.3064910466891
Andhra Pradesh,Srikakulam,2008,301.375,289919.74396775843,0.27,216.52298181058302,84.85201818941698
Andhra Pradesh,Srikakulam,2009,249.47826,309550.5308999029,0.27,224.9016717423911,24.576588257608904
Andhra Pradesh,Srikakulam,2010,303.88461,330210.7804378922,0.27,232.96965839808104,70.91495160191897
Andhra Pradesh,West Godavari,2017,484.52499,526626.0,0.26,275.3083787408186,209.21661125918138
Andhra Pradesh,West Godavari,2018,464.53571,558862.0,0.26,277.0553295881526,187.48038041184742
Andhra Pradesh,Srikakulam,2011,285.84,339996.0,0.27,236.52840877019048,49.311591229809494
Andhra Pradesh,Srikakulam,2012,265.38461,341335.0,0.27,237.00245278379165,28.382157216208356
Andhra Pradesh,Srikakulam,2013,247.75676,360239.0,0.27,243.36739181639615,4.389368183603864
Andhra Pradesh,Srikakulam,2014,216.39999,397064.0,0.27,254.0564325262183,-37.656442526218285
Andhra Pradesh,Srikakulam,2015,234.19513,446997.0,0.27,265.12488457060834,-30.92975457060834
Andhra Pradesh,Srikakulam,2016,221.73077,477566.0,0.27,270.07124422955945,-48.34047422955945
Andhra Pradesh,Srikakulam,2007,321.67999,282693.9814360441,0.27,213.26035460543713,108.41963539456285
Andhra Pradesh,Krishna,2011,433.45834,339996.0,0.33,236.52840877029178,196.92993122970825
Andhra Pradesh,Anantapur,2006,287.09091,251348.62002359648,0.27,197.9662489533109,89.12466104668911
Andhra Pradesh,Anantapur,2008,339.73077,289919.74396775843,0.27,216.52298181058302,123.20778818941699
Andhra Pradesh,Krishna,2009,496.72726,309550.5308999029,0.33,224.9016717424924,271.8255882575076
Andhra Pradesh,Krishna,2008,426.63635,289919.74396775843,0.33,216.5229818106843,210.11336818931568
Andhra Pradesh,Krishna,2007,595.21741,282693.9814360441,0.33,213.26035460553842,381.9570553944616
Andhra Pradesh,Krishna,2006,410.67999,251348.62002359648,0.33,197.9662489534122,212.71374104658778
